timestamp,x,y,z
1732269,0.67711,-1.07983,9.83562
1732289,0.67711,-1.07983,9.83562
1732309,0.67711,-1.07983,9.83562
1732329,1.43645,-0.94653,9.09532
1732349,1.43645,-0.94653,9.09532
1732375,1.43645,-0.94653,9.09532
1732388,1.43645,-0.94653,9.09532
1732409,0.66997,-1.12268,8.94774
1732428,0.66997,-1.12268,8.94774
1732449,0.66997,-1.12268,8.94774
1732469,0.66997,-1.12268,8.94774
1732488,0.66997,-1.12268,8.94774
1732508,0.81517,-1.34167,8.97392
1732529,0.81517,-1.34167,8.97392
1732548,0.81517,-1.34167,8.97392
1732568,0.81517,-1.34167,8.97392
1732589,0.81517,-1.34167,8.97392
1732609,0.4605,-1.12744,8.24791
1732631,0.4605,-1.12744,8.24791
1732651,0.4605,-1.12744,8.24791
1732669,0.4605,-1.12744,8.24791
1732694,0.83183,-1.61304,9.96178
1732713,0.83183,-1.61304,9.96178
1732734,0.83183,-1.61304,9.96178
1732755,0.83183,-1.61304,9.96178
1732773,1.40312,-1.41071,10.29027
1732791,1.40312,-1.41071,10.29027
1732823,1.40312,-1.41071,10.29027
1732831,1.40312,-1.41071,10.29027
1732853,1.40312,-1.41071,10.29027
1732873,0.8485,-1.10364,9.44524
1732892,0.8485,-1.10364,9.44524
1732913,0.8485,-1.10364,9.44524
1732931,0.8485,-1.10364,9.44524
1732949,0.8485,-1.10364,9.44524
1732970,0.79851,-1.08698,9.51427
1732991,0.79851,-1.08698,9.51427
1733014,0.79851,-1.08698,9.51427
1733030,0.79851,-1.08698,9.51427
1733050,0.79851,-1.08698,9.51427
1733069,0.63664,-1.59161,9.16435
1733089,0.63664,-1.59161,9.16435
1733108,0.63664,-1.59161,9.16435
1733130,0.63664,-1.59161,9.16435
1733148,0.63664,-1.59161,9.16435
1733170,1.15556,-1.44165,8.43358
1733189,1.15556,-1.44165,8.43358
1733209,1.15556,-1.44165,8.43358
1733229,1.15556,-1.44165,8.43358
1733249,1.15556,-1.44165,8.43358
1733270,1.13176,-1.57257,10.18315
1733289,1.13176,-1.57257,10.18315
1733309,1.13176,-1.57257,10.18315
1733333,1.13176,-1.57257,10.18315
1733349,1.13176,-1.57257,10.18315
1733417,0.5081,-2.30811,9.77373
1733418,0.5081,-2.30811,9.77373
1733418,0.5081,-2.30811,9.77373
1733429,0.5081,-2.30811,9.77373
1733448,0.5081,-2.30811,9.77373
1733468,0.93181,-2.34381,10.18791
1733489,0.93181,-2.34381,10.18791
1733508,0.93181,-2.34381,10.18791
1733529,0.93181,-2.34381,10.18791
1733548,0.93181,-2.34381,10.18791
1733569,1.42931,-2.94128,11.00438
1733588,1.42931,-2.94128,11.00438
1733608,1.42931,-2.94128,11.00438
1733629,1.42931,-2.94128,11.00438
1733648,1.42931,-2.94128,11.00438
1733669,1.55547,-2.81274,10.57591
1733688,1.55547,-2.81274,10.57591
1733708,1.55547,-2.81274,10.57591
1733728,1.55547,-2.81274,10.57591
1733748,1.55547,-2.81274,10.57591
1733768,1.44835,-2.06531,8.97392
1733788,1.44835,-2.06531,8.97392
1733808,1.44835,-2.06531,8.97392
1733828,1.44835,-2.06531,8.97392
1733849,1.44835,-2.06531,8.97392
1733869,1.59117,-2.48901,9.76421
1733889,1.59117,-2.48901,9.76421
1733908,1.59117,-2.48901,9.76421
1733928,1.59117,-2.48901,9.76421
1733949,1.59117,-2.48901,9.76421
1733969,0.44859,-2.7937,9.57854
1733989,0.44859,-2.7937,9.57854
1734009,0.44859,-2.7937,9.57854
1734030,0.44859,-2.7937,9.57854
1734049,0.54143,-2.9389,9.28099
1734070,0.54143,-2.9389,9.28099
1734090,0.54143,-2.9389,9.28099
1734113,0.54143,-2.9389,9.28099
1734130,0.54143,-2.9389,9.28099
1734149,0.54619,-2.29382,9.43095
1734168,0.54619,-2.29382,9.43095
1734191,0.54619,-2.29382,9.43095
1734209,0.54619,-2.29382,9.43095
1734239,0.351,-2.96985,9.50951
1734248,0.351,-2.96985,9.50951
1734269,0.351,-2.96985,9.50951
1734291,0.351,-2.96985,9.50951
1734309,0.351,-2.96985,9.50951
1734334,1.21745,-2.3938,10.007
1734355,1.21745,-2.3938,10.007
1734377,1.21745,-2.3938,10.007
1734388,1.21745,-2.3938,10.007
1734411,1.21745,-2.3938,10.007
1734428,1.21745,-2.3938,10.007
1734448,0.91991,-2.41046,7.76707
1734468,0.91991,-2.41046,7.76707
1734489,0.91991,-2.41046,7.76707
1734509,0.91991,-2.41046,7.76707
1734529,0.63426,-2.21289,9.25957
1734549,0.63426,-2.21289,9.25957
1734568,0.63426,-2.21289,9.25957
1734589,0.63426,-2.21289,9.25957
1734609,0.63426,-2.21289,9.25957
1734631,0.66521,-2.2724,9.80705
1734651,0.66521,-2.2724,9.80705
1734669,0.66521,-2.2724,9.80705
1734689,0.66521,-2.2724,9.80705
1734709,0.66521,-2.2724,9.80705
1734733,0.94609,-2.43665,9.35716
1734749,0.94609,-2.43665,9.35716
1734769,0.94609,-2.43665,9.35716
1734789,0.94609,-2.43665,9.35716
1734813,0.78423,-2.44617,8.78587
1734829,0.78423,-2.44617,8.78587
1734849,0.78423,-2.44617,8.78587
1734868,0.78423,-2.44617,8.78587
1734888,0.78423,-2.44617,8.78587
1734909,0.2653,-2.78418,9.95464
1734929,0.2653,-2.78418,9.95464
1734949,0.2653,-2.78418,9.95464
1734969,0.2653,-2.78418,9.95464
1734989,0.2653,-2.78418,9.95464
1735009,1.23174,-2.78418,10.14269
1735029,1.23174,-2.78418,10.14269
1735048,1.23174,-2.78418,10.14269
1735071,1.23174,-2.78418,10.14269
1735092,1.23174,-2.78418,10.14269
1735109,0.55809,-2.69611,10.87584
1735135,0.55809,-2.69611,10.87584
1735150,0.55809,-2.69611,10.87584
1735170,0.55809,-2.69611,10.87584
1735189,0.55809,-2.69611,10.87584
1735210,1.33171,-2.47711,9.03343
1735231,1.33171,-2.47711,9.03343
1735250,1.33171,-2.47711,9.03343
1735269,1.33171,-2.47711,9.03343
1735291,1.33171,-2.47711,9.03343
1735309,0.79613,-2.57233,9.26671
1735330,0.79613,-2.57233,9.26671
1735348,0.79613,-2.57233,9.26671
1735369,0.79613,-2.57233,9.26671
1735390,0.79613,-2.57233,9.26671
1735409,1.22221,-2.47711,9.43333
1735428,1.22221,-2.47711,9.43333
1735450,1.22221,-2.47711,9.43333
1735469,1.22221,-2.47711,9.43333
1735488,1.22221,-2.47711,9.43333
1735508,0.76042,-2.70563,8.65257
1735529,0.76042,-2.70563,8.65257
1735549,0.76042,-2.70563,8.65257
1735569,0.76042,-2.70563,8.65257
1735589,0.76042,-2.70563,8.65257
1735609,0.93657,-2.6485,9.42619
1735628,0.93657,-2.6485,9.42619
1735649,0.93657,-2.6485,9.42619
1735669,0.93657,-2.6485,9.42619
1735689,0.93657,-2.6485,9.42619
1735709,0.85564,-2.50092,9.0977
1735728,0.85564,-2.50092,9.0977
1735749,0.85564,-2.50092,9.0977
1735769,0.85564,-2.50092,9.0977
1735789,0.85564,-2.50092,9.0977
1735809,0.20341,-2.32239,9.54045
1735829,0.20341,-2.32239,9.54045
1735849,0.20341,-2.32239,9.54045
1735868,0.20341,-2.32239,9.54045
1735888,0.20341,-2.32239,9.54045
1735908,0.79613,-2.51758,9.21672
1735928,0.79613,-2.51758,9.21672
1735948,0.79613,-2.51758,9.21672
1735968,0.79613,-2.51758,9.21672
1735988,0.79613,-2.51758,9.21672
1736008,0.85326,-2.31049,8.86681
1736028,0.85326,-2.31049,8.86681
1736048,0.85326,-2.31049,8.86681
1736068,0.85326,-2.31049,8.86681
1736088,0.85326,-2.31049,8.86681
1736108,0.69139,-2.62708,9.24767
1736128,0.69139,-2.62708,9.24767
1736148,0.69139,-2.62708,9.24767
1736169,0.69139,-2.62708,9.24767
1736189,0.69139,-2.62708,9.24767
1736208,0.33672,-2.32715,10.52593
1736229,0.33672,-2.32715,10.52593
1736249,0.33672,-2.32715,10.52593
1736269,0.33672,-2.32715,10.52593
1736293,0.85564,-2.70563,9.68565
1736312,0.85564,-2.70563,9.68565
1736333,0.85564,-2.70563,9.68565
1736372,0.85564,-2.70563,9.68565
1736375,0.85564,-2.70563,9.68565
1736389,0.85564,-2.70563,9.68565
1736411,1.04607,-2.66278,9.1096
1736429,1.04607,-2.66278,9.1096
1736450,1.04607,-2.66278,9.1096
1736469,1.04607,-2.66278,9.1096
1736490,0.908,-2.77466,9.28813
1736510,0.908,-2.77466,9.28813
1736529,0.908,-2.77466,9.28813
1736549,0.908,-2.77466,9.28813
1736569,0.908,-2.77466,9.28813
1736588,0.92229,-3.0603,9.4857
1736614,0.92229,-3.0603,9.4857
1736629,0.92229,-3.0603,9.4857
1736650,0.92229,-3.0603,9.4857
1736669,0.92229,-3.0603,9.4857
1736689,0.7509,-2.76752,10.20934
1736709,0.7509,-2.76752,10.20934
1736729,0.7509,-2.76752,10.20934
1736748,0.7509,-2.76752,10.20934
1736769,0.7509,-2.76752,10.20934
1736792,0.66283,-3.01746,9.90465
1736810,0.66283,-3.01746,9.90465
1736830,0.66283,-3.01746,9.90465
1736851,0.66283,-3.01746,9.90465
1736874,0.54381,-3.15076,9.25243
1736889,0.54381,-3.15076,9.25243
1736909,0.54381,-3.15076,9.25243
1736935,0.54381,-3.15076,9.25243
1736950,0.54381,-3.15076,9.25243
1736970,1.36742,-2.82703,8.98344
1736989,1.36742,-2.82703,8.98344
1737009,1.36742,-2.82703,8.98344
1737029,1.36742,-2.82703,8.98344
1737049,1.36742,-2.82703,8.98344
1737069,0.33434,-3.06506,8.93108
1737089,0.33434,-3.06506,8.93108
1737109,0.33434,-3.06506,8.93108
1737129,0.33434,-3.06506,8.93108
1737149,0.33434,-3.06506,8.93108
1737169,0.69853,-3.32452,9.34526
1737192,0.69853,-3.32452,9.34526
1737209,0.69853,-3.32452,9.34526
1737229,0.69853,-3.32452,9.34526
1737249,0.69853,-3.32452,9.34526
1737271,0.17247,-3.19122,9.34764
1737289,0.17247,-3.19122,9.34764
1737309,0.17247,-3.19122,9.34764
1737328,0.17247,-3.19122,9.34764
1737349,0.17247,-3.19122,9.34764
1737370,1.16985,-3.36261,8.56926
1737389,1.16985,-3.36261,8.56926
1737408,1.16985,-3.36261,8.56926
1737429,1.16985,-3.36261,8.56926
1737449,1.16985,-3.36261,8.56926
1737468,-0.00606,-2.87939,9.07152
1737489,-0.00606,-2.87939,9.07152
1737510,-0.00606,-2.87939,9.07152
1737529,-0.00606,-2.87939,9.07152
1737548,-0.00606,-2.87939,9.07152
1737569,1.03178,-2.9032,9.31432
1737589,1.03178,-2.9032,9.31432
1737609,1.03178,-2.9032,9.31432
1737628,1.03178,-2.9032,9.31432
1737648,1.03178,-2.9032,9.31432
1737669,0.88658,-3.00079,9.24767
1737689,0.88658,-3.00079,9.24767
1737709,0.88658,-3.00079,9.24767
1737730,0.88658,-3.00079,9.24767
1737749,1.21269,-3.42688,8.92632
1737769,1.21269,-3.42688,8.92632
1737789,1.21269,-3.42688,8.92632
1737818,1.21269,-3.42688,8.92632
1737836,1.21269,-3.42688,8.92632
1737850,1.21269,-3.42688,8.92632
1737871,0.68425,-2.92938,7.47905
1737888,0.68425,-2.92938,7.47905
1737910,0.68425,-2.92938,7.47905
1737934,0.68425,-2.92938,7.47905
1737949,0.68425,-2.92938,7.47905
1737969,0.57713,-3.21503,8.57164
1737989,0.57713,-3.21503,8.57164
1738009,0.57713,-3.21503,8.57164
1738032,0.57713,-3.21503,8.57164
1738054,0.70567,-3.66492,8.843
1738072,0.70567,-3.66492,8.843
1738093,0.70567,-3.66492,8.843
1738108,0.70567,-3.66492,8.843
1738133,0.70567,-3.66492,8.843
1738149,0.74852,-3.4483,9.87132
1738173,0.74852,-3.4483,9.87132
1738193,0.74852,-3.4483,9.87132
1738212,0.74852,-3.4483,9.87132
1738232,0.74852,-3.4483,9.87132
1738253,0.74614,-3.703,9.42857
1738273,0.74614,-3.703,9.42857
1738292,0.74614,-3.703,9.42857
1738313,0.74614,-3.703,9.42857
1738331,0.74614,-3.703,9.42857
1738351,0.31291,-3.22693,10.62352
1738373,0.31291,-3.22693,10.62352
1738390,0.31291,-3.22693,10.62352
1738409,0.31291,-3.22693,10.62352
1738428,0.31291,-3.22693,10.62352
1738449,0.72948,-4.00055,8.86919
1738469,0.72948,-4.00055,8.86919
1738489,0.72948,-4.00055,8.86919
1738508,0.72948,-4.00055,8.86919
1738529,0.72948,-4.00055,8.86919
1738549,0.57237,-3.30548,9.98082
1738569,0.57237,-3.30548,9.98082
1738588,0.57237,-3.30548,9.98082
1738608,0.57237,-3.30548,9.98082
1738629,0.57237,-3.30548,9.98082
1738649,0.41051,-3.39117,9.02391
1738669,0.41051,-3.39117,9.02391
1738689,0.41051,-3.39117,9.02391
1738709,0.41051,-3.39117,9.02391
1738738,0.41051,-3.39117,9.02391
1738749,0.05583,-3.49353,8.68352
1738769,0.05583,-3.49353,8.68352
1738789,0.05583,-3.49353,8.68352
1738809,0.05583,-3.49353,8.68352
1738828,0.05583,-3.49353,8.68352
1738849,0.351,-3.40546,9.0739
1738869,0.351,-3.40546,9.0739
1738889,0.351,-3.40546,9.0739
1738909,0.351,-3.40546,9.0739
1738931,0.67949,-3.23169,8.94774
1738949,0.67949,-3.23169,8.94774
1738968,0.67949,-3.23169,8.94774
1738993,0.67949,-3.23169,8.94774
