timestamp,x,y,z
232127,2.03,1.05,7.6
232147,2.03,1.05,7.6
232167,2.03,1.05,7.6
232187,1.79,2.45,9.13
232207,1.79,2.45,9.13
232227,1.79,2.45,9.13
232247,3.14,1.2,12.12
232267,3.14,1.2,12.12
232287,3.14,1.2,12.12
232309,4.48,-0.73,9.55
232327,4.48,-0.73,9.55
232347,4.48,-0.73,9.55
232367,3.85,-0.55,9.73
232387,3.85,-0.55,9.73
232407,3.85,-0.55,9.73
232427,3.85,-0.55,9.73
232448,2.83,0.52,8.5
232467,2.83,0.52,8.5
232487,2.83,0.52,8.5
232507,1.91,0.22,11.09
232527,1.91,0.22,11.09
232547,1.91,0.22,11.09
232567,3.66,-0.49,8.66
232587,3.66,-0.49,8.66
232607,3.66,-0.49,8.66
232627,3.66,-0.49,8.66
232647,2.74,1.04,9.47
232667,2.74,1.04,9.47
232688,2.74,1.04,9.47
232708,2.38,0.97,9.57
232727,2.38,0.97,9.57
232747,2.38,0.97,9.57
232767,3.3,0.71,9.58
232787,3.3,0.71,9.58
232807,3.3,0.71,9.58
232827,3.3,0.71,9.58
232848,2.67,0.95,9.59
232868,2.67,0.95,9.59
232888,2.67,0.95,9.59
232908,1.82,0.72,10.03
232928,1.82,0.72,10.03
232948,1.82,0.72,10.03
232968,1.91,0.95,10.16
232987,1.91,0.95,10.16
233007,1.91,0.95,10.16
233027,3,1.5,10.05
233047,3,1.5,10.05
233068,3,1.5,10.05
233088,3,1.5,10.05
233108,2.58,1.36,11.62
233127,2.58,1.36,11.62
233147,2.58,1.36,11.62
233167,3.84,1.18,12.26
233187,3.84,1.18,12.26
233207,3.84,1.18,12.26
233227,1.12,2.25,10.17
233247,1.12,2.25,10.17
233267,1.12,2.25,10.17
233287,1.12,2.25,10.17
233307,3.64,2.6,10.52
233327,3.64,2.6,10.52
233348,3.64,2.6,10.52
233368,6.49,2.75,10.67
233387,6.49,2.75,10.67
233407,6.49,2.75,10.67
233427,7.55,4.2,10.52
233447,7.55,4.2,10.52
233468,7.55,4.2,10.52
233487,7.55,4.2,10.52
233508,2.55,4.32,6.73
233527,2.55,4.32,6.73
233547,2.55,4.32,6.73
233567,3.82,1.6,4.1
233587,3.82,1.6,4.1
233608,3.82,1.6,4.1
233627,3.67,1.22,8.46
233647,3.67,1.22,8.46
233667,3.67,1.22,8.46
233688,-1.61,-0.97,3.86
233707,-1.61,-0.97,3.86
233727,-1.61,-0.97,3.86
233747,-1.61,-0.97,3.86
233768,2.69,-2.86,10.35
233787,2.69,-2.86,10.35
233807,2.69,-2.86,10.35
233827,0.66,-2.23,10.96
233847,0.66,-2.23,10.96
233867,0.66,-2.23,10.96
233887,1.87,-3.02,8.72
233907,1.87,-3.02,8.72
233927,1.87,-3.02,8.72
233947,1.87,-3.02,8.72
233967,3.07,-2.19,9.46
233987,3.07,-2.19,9.46
234007,3.07,-2.19,9.46
234027,3.07,-2.19,9.46
234047,5.2,-4.25,6.98
