timestamp,GYRO_X,GYRO_Y,GYRO_Z
1427956545159,-0.0800000,-0.0800000,-0.0800000
1427956545210,-0.0850000,-0.0850000,-0.0850000
1427956545280,-0.0935000,-0.0935000,-0.0935000
1427956545350,-0.0981500,-0.0981500,-0.0981500
1427956545410,-0.0943350,-0.0943350,-0.0943350
1427956545480,-0.0969015,-0.0969015,-0.0969015
1427956545550,-0.1002114,-0.1002114,-0.1002114
1427956545610,-0.0946830,-0.0946830,-0.0946830
1427956545681,-0.1031712,-0.1031712,-0.1031712
1427956545741,-0.0978541,-0.0978541,-0.0978541
1427956545810,-0.0900687,-0.0900687,-0.0900687
1427956545872,-0.0800618,-0.0800618,-0.0800618
1427956545945,-0.0760556,-0.0760556,-0.0760556
1427956546028,-0.0894423,-0.0894423,-0.0894423
1427956546077,-0.0632051,-0.0632051,-0.0632051
1427956546140,-0.0538845,-0.0538845,-0.0538845
1427956546210,-0.0594961,-0.0594961,-0.0594961
1427956546270,-0.0575465,-0.0575465,-0.0575465
1427956546340,-0.0647918,-0.0647918,-0.0647918
1427956546401,-0.0613127,-0.0613127,-0.0613127
1427956546473,-0.0600394,-0.0600394,-0.0600394
1427956546541,-0.0467633,-0.0467633,-0.0467633
1427956546601,-0.0350869,-0.0350869,-0.0350869
1427956546673,-0.0215782,-0.0215782,-0.0215782
1427956546733,-0.0054204,-0.0054204,-0.0054204
1427956546802,0.0191216,0.0191216,0.0191216
1427956546861,0.0392095,0.0392095,0.0392095
1427956546936,-0.0084196,-0.0084196,-0.0084196
1427956547027,0.0398597,0.0398597,0.0398597
1427956547082,0.0278737,0.0278737,0.0278737
1427956547130,0.0150863,0.0150863,0.0150863
1427956547200,0.0025777,0.0025777,0.0025777
1427956547260,-0.0146801,-0.0146801,-0.0146801
1427956547329,-0.0242121,-0.0242121,-0.0242121
1427956547393,0.0077509,0.0077509,0.0077509
1427956547460,-0.0231118,-0.0231118,-0.0231118
1427956547530,-0.0128006,-0.0128006,-0.0128006
1427956547598,-0.0075205,-0.0075205,-0.0075205
1427956547660,0.0022315,0.0022315,0.0022315
1427956547721,0.0140084,0.0140084,0.0140084
1427956547793,0.0256075,0.0256075,0.0256075
1427956547861,-0.0002640,-0.0002640,-0.0002640
1427956547922,0.0270421,0.0270421,0.0270421
1427956548057,0.0213379,0.0213379,0.0213379
1427956548067,0.0122041,0.0122041,0.0122041
1427956548120,0.0049837,0.0049837,0.0049837
1427956548191,-0.0005150,-0.0005150,-0.0005150
1427956548250,-0.0094632,-0.0094632,-0.0094632
1427956548320,0.0092650,0.0092650,0.0092650
1427956548380,-0.0227652,-0.0227652,-0.0227652
1427956548451,-0.0204887,-0.0204887,-0.0204887
1427956548511,-0.0124398,-0.0124398,-0.0124398
1427956548580,-0.0061958,-0.0061958,-0.0061958
1427956548652,0.0064238,0.0064238,0.0064238
1427956548711,0.0057814,0.0057814,0.0057814
1427956548781,-0.0082807,-0.0082807,-0.0082807
1427956548851,-0.0087171,-0.0087171,-0.0087171
1427956548913,-0.0108454,-0.0108454,-0.0108454
1427956548999,-0.0097608,-0.0097608,-0.0097608
1427956549056,-0.0087848,-0.0087848,-0.0087848
1427956549110,-0.0059063,-0.0059063,-0.0059063
1427956549180,-0.0053157,-0.0053157,-0.0053157
1427956549240,-0.0082217,-0.0082217,-0.0082217
1427956549310,-0.0034057,-0.0034057,-0.0034057
1427956549370,-0.0030651,-0.0030651,-0.0030651
1427956549446,0.0002410,0.0002410,0.0002410
1427956549500,-0.0007830,-0.0007830,-0.0007830
1427956549573,-0.0007040,-0.0007040,-0.0007040
1427956549643,-0.0015433,-0.0015433,-0.0015433
1427956549702,0.0051294,0.0051294,0.0051294
1427956549772,0.0126164,0.0126164,0.0126164
1427956549830,0.0113548,0.0113548,0.0113548
1427956549903,0.0042193,0.0042193,0.0042193
1427956550028,-0.0052026,-0.0052026,-0.0052026
1427956550044,0.0056235,0.0056235,0.0056235
