acc_x,acc_y,acc_z,ground_truth,window_id
0.91,9.36,-0.51,1,1
0.85,9.36,-0.38,1,1
0.64,9.559999,-0.52,1,1
0.75,9.74,-0.25,1,1
1.02,9.51,-0.13,1,1
0.89,9.559999,-0.23,1,1
0.44,9.54,-0.47,1,1
0.54,9.5,-0.59,1,1
0.88,9.4,-0.08,1,1
1.15,9.62,-0.03,1,1
1.06,9.9,-0.27,1,1
0.86,9.62,-0.14,1,1
0.99,9.51,-0.23,1,1
0.99,9.51,-0.23,1,1
1.09,9.7,-0.45,1,1
1.26,9.82,-0.2,1,1
1.47,9.83,-0.03,1,1
0.97,9.8,-0.39,1,1
1.04,9.55,-0.43,1,1
1.38,9.49,0.02,1,1
1.48,9.77,0.12,1,1
1.07,10,-0.28,1,1
0.84,9.92,-0.39,1,1
1.15,9.48,0,1,1
1.48,9.429999,-0.02,1,1
1.29,9.79,-0.19,1,1
1.08,10.099999,-0.28,1,1
1.23,9.96,-0.12,1,1
1.45,9.77,0.04,1,1
1.34,9.71,-0.1,1,1
1.21,9.76,-0.38,1,1
1.25,9.8,-0.13,1,1
1.3,9.8,-0.03,1,1
1.36,9.809999,-0.32,1,1
1.26,9.52,-0.15,1,1
1.33,9.389999,-0.03,1,1
1.23,9.48,-0.08,1,1
0.9,9.7,-0.2,1,1
0.95,9.66,-0.29,1,1
1.29,9.22,0.06,1,1
1.36,9.16,0.03,1,1
0.87,9.27,0,1,1
0.78,9.59,-0.43,1,1
0.94,9.49,0.08,1,1
0.94,9.49,0.3,1,1
1.21,9.57,-0.01,1,1
1.05,9.73,-0.24,1,1
0.97,9.7,0.13,1,1
1.14,9.79,0.15,1,1
1.13,9.929999,-0.08,1,1
1.04,9.889999,0.05,1,1
1.14,9.78,0.26,1,1
1.13,9.809999,0.28,1,1
0.91,10.05,0.01,1,1
0.92,10.02,-0.16,1,1
1.17,9.75,0.15,1,1
1.3,9.66,0.48,1,1
1.12,9.86,0.09,1,1
0.87,9.95,-0.17,1,1
1.02,9.95,0.17,1,1
1.01,9.78,0.17,1,1
1.35,9.599999,0.29,1,1
1.36,9.62,0.09,1,1
1.14,9.71,-0.07,1,1
1.21,9.65,-0.17,1,1
1.34,9.51,0.16,1,1
1.36,9.639999,0.04,1,1
1.29,9.57,-0.24,1,1
1.36,9.5,-0.07,1,1
1.3,9.54,-0.17,1,1
1.14,9.59,-0.34,1,1
1.23,9.429999,-0.1,1,1
1.23,9.429999,-0.1,1,1
1.43,9.38,0.07,1,1
1.02,9.77,-0.21,1,1
1.14,9.719999,-0.22,1,1
1.37,9.55,0.15,1,1
1.4,9.73,0.05,1,1
1.12,9.9,-0.26,1,1
1.07,9.95,-0.19,1,1
1.16,9.71,0.41,1,1
1.22,9.78,0.15,1,1
0.99,9.929999,-0.07,1,1
0.94,10,0.01,1,1
1.18,9.88,0.26,1,1
1.17,9.86,0.41,1,1
0.91,9.92,0.01,1,1
0.91,9.92,0.01,1,1
0.92,9.52,0.37,1,1
1.08,9.65,0.43,1,1
0.93,9.88,0.02,1,1
0.76,9.889999,0.07,1,1
0.93,9.52,0.33,1,1
1.07,9.34,0.26,1,1
0.79,9.48,0.04,1,1
0.6,9.559999,-0.16,1,1
0.89,9.46,0.04,1,1
1.11,9.349999,0.52,1,1
0.95,9.48,0.05,1,1
0.75,9.57,-0.33,1,1
0.92,9.51,0,1,1
1.19,9.389999,0.32,1,1
1.2,9.67,0,1,1
0.9,9.8,-0.16,1,1
1.04,9.76,-0.21,1,1
1.24,9.5,0.35,1,1
1.25,9.63,0.27,1,1
1.04,9.91,-0.33,1,1
0.96,9.96,-0.04,1,1
1.29,9.8,0.24,1,1
1.29,9.8,0.2,1,1
1.36,9.71,0.2,1,1
1.09,9.86,-0.07,1,1
1.06,9.92,-0.21,1,1
1.17,9.71,0.25,1,1
1.21,9.73,0.36,1,1
0.99,9.98,-0.29,1,1
0.99,9.98,-0.29,1,1
1.29,9.7,0.21,1,1
1.48,9.51,0.43,1,1
1.12,9.78,-0.09,1,1
0.73,9.889999,-0.43,1,1
1.02,9.679999,-0.18,1,1
1.42,9.38,0.51,1,1
1.41,9.599999,0.1,1,1
0.69,9.79,-0.38,1,1
1.21,9.38,0.17,1,1
1.49,9.349999,0.32,1,1
1.02,9.63,-0.05,1,1
0.72,9.9,-0.54,1,1
0.95,9.66,0.08,1,1
1.4,9.44,0.4,1,1
1.31,9.58,0.04,1,1
0.78,9.82,-0.33,1,1
0.87,9.77,-0.22,1,1
1.23,9.49,0.51,1,1
1.37,9.65,0.11,1,1
0.87,9.82,-0.3,1,1
0.65,9.79,-0.17,1,1
1.13,9.53,0.28,1,1
1.51,9.59,0.32,1,1
1.1,9.889999,-0.15,1,1
0.73,10,-0.39,1,1
0.97,9.74,0.1,1,1
1.45,9.51,0.37,1,1
1.32,9.71,-0.07,1,1
0.8,9.95,-0.31,1,1
0.91,9.86,-0.18,1,1
1.32,9.53,0.34,1,1
1.32,9.53,0.19,1,1
1.28,9.49,0.19,1,1
0.86,9.76,-0.51,1,1
0.77,9.8,-0.26,1,1
1.19,9.55,0.29,1,1
1.47,9.62,0.05,1,1
0.85,9.71,-0.19,1,1
0.58,9.82,-0.7,1,1
1.45,9.33,0.35,1,1
1.25,9.66,-0.16,1,1
0.64,9.99,-0.55,1,1
0.69,9.99,-0.38,1,1
0.69,9.809999,-0.38,1,1
1.24,9.38,0.19,1,1
1.42,9.45,0.07,1,1
0.99,9.82,-0.52,1,1
0.69,9.96,-0.42,1,1
1.17,9.79,-0.06,1,1
1.38,9.429999,0.19,1,1
1.09,9.639999,-0.38,1,1
0.71,9.75,-0.49,1,1
1.47,9.679999,0.17,1,1
1.25,9.67,-0.06,1,1
0.78,9.79,-0.58,1,1
0.78,9.79,-0.58,1,1
1.42,9.48,-0.07,1,1
1.36,9.54,0.09,1,1
1.02,9.91,-0.41,1,1
0.86,9.91,-0.47,1,1
1.24,9.559999,-0.16,1,1
1.5,9.349999,0.1,1,1
1.06,9.54,-0.02,1,1
0.85,9.94,-0.58,1,1
1.36,9.42,0.23,1,1
0.8,9.65,-0.45,1,1
1.5,9.679999,0.33,1,1
1.04,9.8,-0.18,1,1
0.67,9.83,-0.41,1,1
0.92,9.57,-0.14,1,1
1.3,9.389999,0.29,1,1
1.22,9.679999,0.16,1,1
0.84,10.08,-0.36,1,1
0.74,9.929999,-0.1,1,1
1.07,9.49,0.41,1,1
1.21,9.46,0,1,1
0.78,9.62,-0.16,1,1
0.77,9.849999,-0.15,1,1
1.08,9.66,0.34,1,1
1.27,9.69,0.25,1,1
0.8,9.639999,-0.06,1,1
0.64,9.719999,-0.35,1,1
0.64,9.719999,0.11,1,1
1.04,9.61,0.11,1,1
1.42,9.599999,0.38,1,1
1.05,9.79,0.09,1,1
0.62,9.91,-0.36,1,1
0.86,9.7,-0.22,1,1
1.25,9.26,0.58,1,1
1.43,9.57,0.09,1,1
0.79,9.9,-0.2,1,1
0.65,10.04,-0.33,1,1
1.54,9.389999,0.29,1,1
1.08,9.559999,-0.01,1,1
0.66,9.849999,-0.33,1,1
0.66,9.849999,-0.33,1,1
1.49,9.58,0.36,1,1
1.34,9.61,0.25,1,1
0.85,9.76,-0.25,1,1
0.87,9.8,-0.3,1,1
1.25,9.61,0.34,1,1
1.43,9.679999,0.26,1,1
1.01,9.82,-0.13,1,1
0.78,9.77,-0.16,1,1
1.17,9.51,0.08,1,1
1.42,9.48,0.32,1,1
1.13,9.77,0.09,1,1
0.89,9.95,-0.18,1,1
1.14,9.78,0.12,1,1
1.39,9.389999,0.48,1,1
1.2,9.45,0.21,1,1
0.74,9.71,-0.05,1,1
0.85,9.77,0.01,1,1
1.29,9.599999,0.61,1,1
1.4,9.61,0.58,1,1
0.95,9.69,0,1,1
0.75,9.74,0,1,1
1.07,9.61,0.44,1,1
1.41,9.7,0.59,1,1
1.11,9.86,0.51,1,1
0.83,9.91,0.08,1,1
0.83,9.91,0.34,1,1
0.94,9.63,0.34,1,1
1.23,9.53,0.65,1,1
1.16,9.719999,0.48,1,1
0.88,9.969999,0.27,1,1
0.92,9.9,0.32,1,1
1.12,9.66,0.53,1,1
1.04,9.62,0.56,1,1
0.91,9.719999,0.23,1,1
0.98,9.82,0.26,1,1
1.11,9.75,0.69,1,1
1.13,9.8,0.51,1,1
0.91,9.639999,0.21,1,1
1.2,9.51,0.48,1,1
1.19,9.65,0.64,1,1
0.88,9.929999,0.23,1,1
0.88,9.929999,0.23,1,1
0.84,9.94,-0.01,1,1
1.15,9.53,0.48,1,1
1.38,9.29,0.69,1,1
1.1,9.599999,0.27,1,1
0.7,9.929999,-0.02,1,1
0.9,9.78,0.2,1,1
1.37,9.49,0.7,1,1
0.97,9.69,-0.07,1,1
0.97,9.69,-0.07,1,1
0.75,9.74,0.13,1,1
1.14,9.599999,0.49,1,1
1.46,9.65,0.37,1,1
1.17,9.76,0.11,1,1
0.99,9.61,0.41,1,1
1.24,9.66,0.4,1,1
1.17,9.809999,-0.07,1,1
1.17,9.809999,-0.07,1,1
0.94,9.849999,-0.2,1,1
1.32,9.62,0.26,1,1
1.32,9.59,0.26,1,1
1.15,9.74,-0.02,1,1
0.93,9.92,-0.35,1,1
0.93,9.719999,0.03,1,1
1.19,9.53,0.42,1,1
1.31,9.69,-0.1,1,1
0.99,9.84,-0.4,1,1
0.8,9.7,-0.02,1,1
1.22,9.54,-0.01,1,1
0.98,9.65,-0.28,1,1
0.89,9.66,-0.18,1,1
1.04,9.66,0.26,1,1
1.02,9.599999,0.26,1,1
1.17,9.639999,0.12,1,1
1.01,9.7,-0.37,1,1
0.79,9.59,-0.2,1,1
0.97,9.42,0.23,1,1
1.03,9.77,-0.05,1,1
0.87,9.92,-0.29,1,1
0.93,9.66,0.13,1,1
1.22,9.57,0.2,1,1
1.15,9.65,-0.16,1,1
0.96,9.82,-0.4,1,1
0.96,9.82,0.19,1,1
0.91,9.7,0.19,1,1
1.22,9.69,0.18,1,1
1.12,9.75,-0.13,1,1
0.93,9.79,-0.38,1,1
0.99,9.65,-0.15,1,1
1.18,9.559999,0.28,1,1
1.2,9.78,-0.15,1,1
0.93,9.86,-0.59,1,1
0.83,9.66,-0.26,1,1
1.13,9.44,0.17,1,1
1.32,9.57,-0.19,1,1
0.83,9.83,-0.41,1,1
1.04,9.599999,-0.11,1,1
1.24,9.51,-0.06,1,1
1.18,9.61,-0.59,1,1
0.93,9.62,-0.43,1,1
0.95,9.67,-0.1,1,1
1.14,9.69,-0.23,1,1
1.14,9.76,-0.63,1,1
0.97,9.599999,-0.44,1,1
1.13,9.52,-0.31,1,1
1.1,9.559999,-0.14,1,1
0.98,9.84,-0.6,1,1
0.9,9.75,-0.72,1,1
1.07,9.51,-0.19,1,1
1.24,9.469999,-0.04,1,1
1.13,9.719999,-0.61,1,1
0.79,9.86,-0.72,1,1
0.93,9.7,-0.4,1,1
1.23,9.52,-0.22,1,1
1.16,9.599999,-0.48,1,1
0.85,9.75,-0.63,1,1
0.87,9.639999,-0.92,1,1
1.23,9.5,-0.62,1,1
0.82,9.719999,-1,1,1
1.07,9.69,-0.61,1,1
1.19,9.51,-0.5,1,1
0.92,9.67,-0.89,1,1
0.99,9.53,-0.64,1,1
1.2,9.3,-0.35,1,1
0.85,9.63,-0.99,1,1
1.28,9.559999,-0.46,1,1
1.08,9.75,-0.74,1,1
1.34,9.48,-0.57,1,1
1.08,9.66,-0.68,1,1
1.19,9.69,-0.73,1,1
1.37,9.52,-0.54,1,1
0.65,9.719999,-1.09,1,1
0.84,9.679999,-0.94,1,1
0.91,9.73,-1.01,1,1
0.99,9.73,-0.86,1,1
1.29,9.53,-0.54,1,1
0.94,9.809999,-0.93,1,1
0.65,9.95,-1.14,1,1
1.03,9.65,-0.39,1,1
0.53,9.73,-0.89,1,1
0.92,9.389999,0.24,1,1
1.04,9.849999,-0.18,1,1
1.21,9.79,0.12,1,1
1.29,9.77,0.11,1,1
