acc_x,acc_y,acc_z,ground_truth,window_id
0.49,9.41,-0.29,1,2
0.52,9.559999,-0.23,1,1
0.01,9.57,-0.2,1,1
0.52,9.639999,-0.42,1,1
0.28,9.86,-0.32,1,1
0.55,10.04,-0.27,1,1
1.07,9.88,-0.13,1,1
0.18,9.02,-0.03,1,1
-0.18,9.83,-0.23,1,1
0,9.91,-0.26,1,1
-0.33,9.86,-0.11,1,1
0.16,9.24,0.09,1,1
-0.08,8.51,-0.36,1,1
0.38,9.09,-0.24,1,1
0.57,9.57,-0.47,1,1
0.82,10.24,-0.5,1,1
0.87,9.88,0,1,1
0.53,10.139999,-0.13,1,1
0.83,10.57,-0.22,1,1
0.38,10.17,-0.16,1,1
-0.06,9.53,-0.22,1,1
-0.22,9.55,-0.37,1,1
-0.38,9.78,-0.18,1,1
-0.37,10.02,0.09,1,1
-0.03,9.73,-0.1,1,1
-0.32,9.19,-0.03,1,1
-0.49,9.25,0.17,1,1
-0.32,9.36,0.15,1,1
0.59,9.59,-0.31,1,1
0.58,9.96,-0.05,1,1
0.95,9.929999,-0.1,1,1
0.88,10.27,-0.08,1,1
1.09,9.88,-0.33,1,1
1.21,9.82,-0.1,1,1
0.4,9.13,-0.41,1,1
-0.43,9.23,-0.34,1,1
-0.09,9.73,-0.24,1,1
0,10.059999,-0.11,1,1
0.35,9.32,0.22,1,1
0.28,9.02,-0.06,1,1
-0.54,8.76,-0.24,1,1
-0.41,9.5,-0.07,1,1
-0.04,10.23,0.25,1,1
0.21,10.51,0.54,1,1
0.27,10.37,-0.27,1,1
1.03,10.58,-0.08,1,1
1.48,9.66,0.03,1,1
0.36,8.87,-0.18,1,1
0.76,9.01,0.08,1,1
0.06,8.62,-0.11,1,1
-0.3,9.42,0.61,1,1
-0.33,10.05,0.55,1,1
-0.08,10.13,0.43,1,1
-0.53,9.719999,0.35,1,1
0.41,9.95,0.36,1,1
0.54,9.37,0.72,1,1
0.59,9.03,0.05,1,1
0.07,9.73,-0.18,1,1
0.25,9.599999,0.09,1,1
0.23,10.45,0.27,1,1
0.53,10.29,0.59,1,1
0.11,10.17,0.04,1,1
-0.04,9.82,0.18,1,1
0.44,9.55,0.29,1,1
-0.4,9.34,-0.18,1,1
0.54,9.51,-0.03,1,1
0.63,13.4,2.65,1,1
1.19,11.04,-0.9,1,1
0.06,11.96,-0.65,1,1
0.01,8.63,-1.61,1,1
-1.36,5.06,-0.83,1,1
-0.64,2.74,-0.74,1,1
0.39,15.54,0.85,1,1
-0.46,15.219999,0.65,1,1
0.64,5.72,-0.06,1,1
-0.85,9.2,-1.19,1,1
2.9,14.099999,1.92,1,1
1.99,12.53,1.23,1,1
0.73,9.48,0.57,1,1
-0.14,9.66,-0.52,1,1
0.36,9.13,-0.01,1,1
0.38,7.34,-0.09,1,1
1.46,11.54,-1.32,1,1
1.05,9.05,-0.15,1,1
1.42,9.05,-0.27,1,1
1.15,7.6,0.89,1,1
0.43,9.11,2.19,1,1
2.33,10.179999,1.49,1,1
1.18,9.04,-0.03,1,1
-0.58,8.28,-0.98,1,1
-0.12,9.66,-0.84,1,1
0.72,11.23,-1.01,1,1
1.13,11.66,-0.24,1,1
0.86,11.15,0.02,1,1
0.97,9.969999,0.26,1,1
-0.14,9.24,0.01,1,1
-0.03,9.28,-0.03,1,1
0.3,9.599999,0.04,1,1
-0.02,9.12,0.23,1,1
0.32,9.03,-0.01,1,1
0.37,10.26,-0.2,1,1
0.77,10.559999,-0.05,1,1
0.57,10.17,0,1,1
0.64,9.889999,-0.62,1,1
0.79,9.91,-0.18,1,1
0.37,9.599999,-0.04,1,1
0.01,9.61,-0.22,1,1
0.32,9.719999,-0.32,1,1
0.16,9.76,-0.44,1,1
0.37,9.429999,-0.15,1,1
-0.15,9.559999,-0.5,1,1
0.63,9.75,-0.08,1,1
0.07,9.37,-0.36,1,1
0.02,9.13,-0.3,1,1
0.5,9.809999,-0.53,1,1
0.1,9.969999,-0.45,1,1
0.16,10.04,-0.14,1,1
0.29,9.639999,-0.59,1,1
0.09,9.09,-0.37,1,1
0.4,9.09,-0.63,1,1
0.41,9.74,-0.59,1,1
0.38,9.92,-0.69,1,1
0.1,9.559999,-0.89,1,1
0.51,9.559999,-0.86,1,1
0.44,9.46,-0.63,1,1
0.47,9.71,-0.48,1,1
0.41,9.91,-0.48,1,1
0.5,9.87,-0.43,1,1
0.37,10.139999,-0.55,1,1
-0.18,9.21,-0.55,1,1
0.21,9.69,-0.85,1,1
-0.22,12.009999,1.26,1,1
-0.32,12.29,0.63,1,1
-0.46,13.83,1.09,1,1
-0.2,12.58,0.7,1,1
0.82,10.889999,0.61,1,1
0.97,9.55,0.03,1,1
0.23,8.679999,-0.42,1,1
0.52,8.62,-0.91,1,1
0.8,8.74,-0.86,1,1
0.45,8.97,-1.09,1,1
0.23,9.38,-0.82,1,1
-0.19,10.27,-0.9,1,1
-0.23,9.44,-0.84,1,1
-0.48,8.98,-1.16,1,1
-0.25,8.87,-1.6,1,1
0.22,9.469999,-1.08,1,1
0.21,9.389999,-1.32,1,1
-0.54,9.719999,-2.19,1,1
0.6,9.639999,-2.11,1,1
0.73,9.809999,-1.31,1,1
0.84,9.34,-1.08,1,1
1.06,10.36,-0.83,1,1
0.67,9.98,-0.6,1,1
-0.14,9.42,-0.16,1,1
-0.2,9.969999,-0.31,1,1
-0.76,8.61,-0.96,1,1
0.23,9.82,-0.36,1,1
0.12,10.07,-0.59,1,1
0.4,10.15,-1.47,1,1
-0.51,8.57,-1.7,1,1
-0.71,9.74,-0.98,1,1
-0.76,10.69,-1.29,1,1
-0.23,10.719999,-0.68,1,1
-0.19,10.07,-1.3,1,1
-0.22,9.15,-1.59,1,1
0.58,9.24,-0.54,1,1
0.78,9.9,-1.28,1,1
0.02,8.679999,-1.59,1,1
-0.2,9.33,-1.09,1,1
0.06,9.77,-1.33,1,1
0.44,9.88,-2.01,1,1
0.07,9.27,-1.66,1,1
0.91,10.3,-1.64,1,1
1.17,10.3,-0.99,1,1
0.18,9.27,-1.06,1,1
0.83,9.63,-1.43,1,1
0.68,9.78,-1.28,1,1
0.09,9.52,-1.23,1,1
-0.27,9.349999,-1.46,1,1
0.45,9.28,-1.16,1,1
-0.18,9.32,-2.05,1,1
-0.51,8.23,-1.65,1,1
0.51,9.51,-1.17,1,1
1.13,10.24,-0.64,1,1
0.99,9.73,-1.23,1,1
-0.5,10.5,-1.94,1,1
0.22,10.66,-1.58,1,1
1.14,9.21,-1.15,1,1
1.82,9.889999,-0.69,1,1
0.47,9.4,-2.09,1,1
-0.78,9.46,-2.31,1,1
0.83,11.33,-1.17,1,1
0.64,10.11,-1.66,1,1
0.73,10.69,-1.53,1,1
0.95,9.5,-0.73,1,1
-0.93,8.02,-1.78,1,1
1.12,9.54,-1.11,1,1
-0.25,9.01,-0.93,1,1
0.34,10.639999,-1.37,1,1
-0.12,10.46,-1.89,1,1
-0.33,9.84,-2.06,1,1
-0.31,8.77,-2.09,1,1
1.11,9.57,-1.77,1,1
1.91,10.53,-1.13,1,1
0.26,7.78,-1.46,1,1
-0.09,8.07,-1.88,1,1
0.29,9.75,-1.44,1,1
0.58,10.88,-0.59,1,1
1.28,11.24,-0.74,1,1
-0.21,8.26,-1.79,1,1
0.35,9.2,-1.21,1,1
1.22,10.86,-0.62,1,1
1.03,10,-0.8,1,1
1.2,9.59,-0.71,1,1
0.99,9.11,-1.19,1,1
1.22,10.87,-0.46,1,1
0.76,9.26,-0.96,1,1
0.31,10.05,-1.22,1,1
1.01,9,-0.82,1,1
1.02,9.16,-0.82,1,1
0.13,7.47,-0.96,1,1
1.34,9.01,-1.47,1,1
1.69,9.94,-1.64,1,1
1.85,10.179999,-1.08,1,1
1.36,8.86,-1.47,1,1
1.76,9.179999,-0.21,1,1
1.51,8.52,-0.53,1,1
0.29,10.16,-0.99,1,1
0.99,9.4,-1.18,1,1
-0.09,8.03,-1.61,1,1
0.09,8.69,-1.8,1,1
1.1,11.2,-1.03,1,1
0.83,11.01,-1.27,1,1
0.38,9.11,-1.39,1,1
1.83,9.44,-0.92,1,1
1.46,10.67,-1.36,1,1
1.99,9.63,-1.02,1,1
1.56,9.4,-1.23,1,1
1.67,9.66,-1.13,1,1
0.39,9.73,-1.08,1,1
0.38,9.13,-0.81,1,1
0.93,9.74,-1.38,1,1
1.25,9.49,-0.24,1,1
0.79,9.929999,-0.55,1,1
1.38,10.07,-0.81,1,1
1.46,9.87,-0.89,1,1
-0.33,8.72,-0.92,1,1
-0.1,9.02,-0.44,1,1
1.11,9.62,0.31,1,1
1.59,10.51,-0.05,1,1
2.17,10.059999,0.45,1,1
2.28,9.99,0.05,1,1
1.66,9.83,0.07,1,1
1.26,8.87,-0.1,1,1
1.56,9.28,-0.4,1,1
1.17,9.32,-0.09,1,1
1.61,9.57,-0.04,1,1
1.23,9.07,0,1,1
1.59,9.69,0.12,1,1
1.75,10.469999,0.15,1,1
1.16,9.54,0.21,1,1
0.91,10.02,0.09,1,1
1.19,10.349999,0.37,1,1
1.4,9.309999,-0.55,1,1
0.95,10.139999,-0.27,1,1
1.74,9.809999,-0.93,1,1
1.1,8.86,-0.6,1,1
2.01,8.65,0.05,1,1
2.05,9.99,-0.72,1,1
1.24,9.38,-0.43,1,1
1.11,9.46,-1.06,1,1
1.2,9.42,-1.08,1,1
1.62,10.099999,-1.12,1,1
1.15,9.78,-0.54,1,1
0.3,9.22,-1.19,1,1
1.27,10.11,-0.76,1,1
3.05,11.23,-1.01,1,1
2.73,10.25,0.14,1,1
2.35,10.96,-0.94,1,1
1.81,9.65,-0.7,1,1
2.78,9.12,-0.32,1,1
1.5,9.25,-0.36,1,1
1.61,9.19,-0.14,1,1
2.24,9.49,-0.35,1,1
0.54,8.36,-1.2,1,1
1.1,8.84,-1.1,1,1
1.95,10.09,-0.64,1,1
2.1,10.59,-0.31,1,1
2.64,9.849999,0.03,1,1
2.75,10.03,-0.67,1,1
2.14,10.29,-0.32,1,1
1.56,10.09,-0.47,1,1
0.87,9.809999,-1.09,1,1
3.49,9.55,0.64,1,1
3.1,9.96,0.93,1,1
1.33,11.03,0.13,1,1
3.38,9.57,0.39,1,1
3.57,9.11,0.9,1,1
3.74,9.04,1.27,1,1
2.56,8.94,0.27,1,1
3.15,8.88,0.1,1,1
2.72,8.82,0.2,1,1
2.07,9.62,-0.06,1,1
2.36,9.44,0.29,1,1
1.4,8.51,-0.2,1,1
2.07,9.26,-0.57,1,1
1.86,9.719999,-0.19,1,1
1.52,9.65,0.19,1,1
1.84,9.809999,-0.1,1,1
2.04,9.88,0.03,1,1
1.93,9.8,0.25,1,1
1.2,10.08,0.68,1,1
1.78,10.139999,0.18,1,1
0.54,10.25,0.27,1,1
0.47,9.74,-0.2,1,1
0.82,9.32,-0.38,1,1
0.7,8.86,0,1,1
1.89,10.23,-0.22,1,1
1.34,9.8,0.2,1,1
1.57,9.66,0.84,1,1
1.61,9.69,0.91,1,1
1.32,10.13,0.2,1,1
1.53,10.36,0.53,1,1
1.04,9.76,-0.12,1,1
1.09,9.63,-0.17,1,1
1.09,9.41,-0.37,1,1
0.92,9.17,-0.09,1,1
0.76,9.349999,-0.17,1,1
