acc_x,acc_y,acc_z,ground_truth,window_id
4.18,-1.05,9.16,3,1
4.25,-0.91,9.17,3,1
3.73,-1.71,8.28,3,1
4.55,-0.77,8.98,3,1
4.16,-0.95,8.98,3,1
3.29,-1.13,8.44,3,1
5.8,3.84,5.71,3,1
1.36,1.79,8.349999,3,1
1.56,2.08,11.17,3,1
0.42,1.8,12.65,3,1
-0.02,1.53,9.04,3,1
0.05,0.58,6.26,3,1
1.48,-0.92,10.27,3,1
-1.36,3.22,5.64,3,1
-0.36,3.15,10.54,3,1
-1.29,3.73,8.03,3,1
-1.06,3.89,9.5,3,1
-1.44,4.61,7.02,3,1
-0.49,4.88,7.81,3,1
-0.65,5.34,8.52,3,1
-0.7,5.56,6.45,3,1
-1.62,5.93,8.22,3,1
-0.12,5.22,5.93,3,1
-0.6,5.15,9.16,3,1
-0.97,5.52,7.48,3,1
-1.44,5.94,7.62,3,1
-1.89,6.09,8.36,3,1
-0.93,6.13,7.78,3,1
-0.34,5.81,7.04,3,1
-0.88,6.07,7.98,3,1
-1.09,6.17,8.179999,3,1
-0.26,6.35,7.13,3,1
-0.63,6.18,7.83,3,1
-0.91,6.2,5.64,3,1
-0.04,6.02,8.38,3,1
-0.92,6.59,7.26,3,1
-0.4,6.35,6.82,3,1
-0.73,6.3,7.77,3,1
0.79,5.39,8.79,3,1
0.64,5.74,7.99,3,1
0.12,6.18,7.15,3,1
0.61,5.56,9.16,3,1
-1.24,5.85,6.66,3,1
-1.16,6.16,7.41,3,1
0.42,5.62,9.15,3,1
0.85,5.33,7.61,3,1
0.26,5.66,6.65,3,1
0.89,6.23,7.35,3,1
0.57,6.21,7.97,3,1
0,6.07,8.02,3,1
0.8,5.92,8.22,3,1
1.09,5.71,7.83,3,1
1.03,5.84,8.099999,3,1
0.43,6.01,7.4,3,1
0.89,6.15,7.24,3,1
0.67,6.22,7.61,3,1
0.12,6.19,7.38,3,1
0.61,6.35,7.08,3,1
0.11,6.55,7.29,3,1
0.65,6.89,8,3,1
0.78,6.68,6.44,3,1
0.53,6.73,7.34,3,1
0.97,6.88,7.42,3,1
0.38,6.69,6.58,3,1
0.67,6.44,7.31,3,1
0.74,6.23,6.98,3,1
0.44,6.26,7.85,3,1
0.63,6.15,7.55,3,1
0.54,6.17,7.68,3,1
0.76,6.34,7.55,3,1
0.65,6.41,7.52,3,1
0.6,6.38,7.16,3,1
0.73,6.26,7.06,3,1
0.59,5.99,7.6,3,1
0.29,5.94,7.84,3,1
0.62,5.83,8.03,3,1
0.48,5.98,7.71,3,1
0.52,5.87,8.45,3,1
0.51,5.88,7.48,3,1
0.67,6.01,8.49,3,1
0.6,6.12,7.9,3,1
0.62,6.19,7.36,3,1
0.54,5.92,7.37,3,1
0.48,5.98,7.69,3,1
0.56,6.05,7.53,3,1
0.11,5.92,7.51,3,1
0.4,5.82,7.93,3,1
0.71,5.75,8.48,3,1
0.82,5.78,8.22,3,1
0.12,5.97,8.2,3,1
1.15,6.19,7.9,3,1
1.65,6.27,7.08,3,1
0.38,7.48,5.16,3,1
0.93,7.73,6.01,3,1
1.46,6.56,8.09,3,1
1.05,5.3,8.98,3,1
1.56,5.68,7.84,3,1
0.89,3.19,13.719999,3,1
-1.37,3.62,9.01,3,1
-0.87,3.62,16.59,3,1
-0.45,2.85,9.05,3,1
-1.11,3.3,8.28,3,1
-0.68,4.56,7.77,3,1
2.14,7.06,2.15,3,1
1.08,6.93,4.79,3,1
1.83,8.07,5.26,3,1
1,7.36,4.42,3,1
3.1,8.91,3.11,3,1
4.12,10,1.48,3,1
1.88,7.8,7.47,3,1
0.37,7.51,2.53,3,1
0.9,8.87,4.56,3,1
-0.39,8.15,5.02,3,1
0.16,9.13,4.01,3,1
1.14,9.11,4.13,3,1
1.64,10.13,-0.18,3,1
2.65,9.429999,1.06,3,1
2.8,10.33,1.83,3,1
2.2,9.679999,2.85,3,1
-0.25,10.05,3.47,3,1
0.37,8.02,2.78,3,1
1.12,7.77,3.6,3,1
1.09,8.139999,1.03,3,1
2.3,8.94,1.95,3,1
1.87,9.61,0.65,3,1
1.2,9.22,3.17,3,1
1.1,9.07,2.99,3,1
2.33,10.27,2.82,3,1
2.03,9.73,2.39,3,1
1.79,9.07,1.5,3,1
1.52,9.13,0.82,3,1
3.26,9.66,1.94,3,1
3.97,10.42,1.84,3,1
3.51,10.389999,1.83,3,1
1.05,9.37,1.91,3,1
0.87,9.37,1.62,3,1
1.1,9.27,0.7,3,1
1.9,9.62,0.81,3,1
1.16,9.19,1.22,3,1
2.56,10.5,1.76,3,1
