mean acc x,mean acc y,mean acc z,ground truth
1.035147826,9.66866066,-0.282904348,1
0.979459459,9.684188991,-0.365405405,1
0.98165,9.671899785,-0.3709,2
0.98145,9.663749825,-0.2974,2
0.9768,9.66744987,-0.48545,2
1.068643216,9.667537482,-0.255075377,2
1.09085,9.659999765,-0.43225,2
1.07735,9.652399815,-0.33295,2
1.13685,9.66224983,-0.48715,2
0.948040201,9.670150573,-0.246432161,2
0.79435,9.67239984,-0.37085,2
0.855,9.67739981,-0.4604,2
0.276834171,9.712713357,-0.546231156,1
0.35915,9.6691498,-0.34645,1
0.77245,9.679699815,-1.05425,1
1.166582915,9.589145528,-0.792110553,1
0.783718593,9.706130467,-0.197788945,1
0.750954774,9.715577663,-0.342613065,1
0.9069,9.66329981,-0.36105,1
0.9681,9.671799825,-0.4116,1
0.383417085,9.701708357,-0.418492462,1
0.78798995,9.641909377,-0.948844221,1
0.702,9.54399983,-1.55105,1
0.540150754,9.525175709,-1.762261307,1
0.397738693,9.584924357,-0.630753769,1
1.007166276,9.711170775,0.171451991,1
1.252029197,9.678496146,-0.272569343,1
1.240878788,9.668787702,-0.400984848,2
1.220182094,9.633171278,-0.925159332,1
0.97573055,9.540986531,-1.348747628,1
0.354590444,9.751296763,0.060392491,1
0.570942761,9.785925731,0.056329966,1
0.81965,9.59494984,-0.83365,1
0.957336683,9.735326487,0.103517588,1
0.8145,9.770049845,0.6389,1
0.497788945,9.742713372,-0.356432161,1
0.35775,9.665399795,-0.7964,1
-0.1175,9.68944978,-0.30935,1
0.7231,9.56034983,-0.0917,1
1.092361809,9.67065308,0.391909548,1
0.712110553,9.741658075,-0.757688442,1
0.254723618,9.712009834,-0.140954774,1
0.168542714,9.771507357,0.667738693,1
0.459949749,9.737487236,0.212462312,1
0.17805,9.68949989,0.60095,1
0.203266332,9.748944497,0.376984925,1
0.814422111,9.646180749,-0.326984925,1
-0.004221106,9.712562658,-0.102211055,1
1.302613065,9.656783744,-0.269748744,1
0.51919598,9.684170658,-0.373115578,1
0.861708543,9.688693271,-0.362512563,1
0.76120603,9.735879241,-0.038040201,1
0.9385,9.70609976,-0.451,1
0.896683417,9.69221093,-0.375075377,2
0.58080402,6.485829065,4.805326558,2
-4.389899985,1.3464,7.904399915,3
-6.418844181,2.994120603,6.103467317,3
-6.837537623,4.172914573,4.765025111,3
-4.83909999,3.3194,6.819699955,3
-1.905527638,2.759346724,7.811256141,3
1.536411379,2.39693654,9.174310571,3
-2.049715536,3.952954048,8.3476804,3
-3.685305242,3.237557884,5.142189446,3
-6.440940339,-1.619655956,-3.34181192,3
-5.565762689,4.764067785,4.538870034,3
-5.47359996,2.93,5.68639992,3
-1.73799992,0.2172,4.44759992,3
4.314,-1.0076,9.11399976,3
0.764,6.133285686,6.554357114,3
0.206683417,9.692914422,-0.120452266,2
0.063366834,9.66065309,-0.54361809,2
0.303718593,9.748190769,-0.431105528,1
1.078190955,9.609849106,-0.74361809,1
0.961708543,9.622864156,-0.646934673,1
0.39685,9.69819977,-0.1944,1
0.98825,9.6970498,-0.30985,1
0.39565,9.6383498,-1.0281,1
